dataset,model,params_m,lr,num_hidden_layers,hidden_size,ndcg@10,recall@10
Sports,RPG,8.528,0.0030,,,0.0251,0.0435
Sports,SASRec Modernized,1.278,0.0010,2,64,0.0166,0.0312
Sports,SASRec Size-Matched (Chosen),8.561,0.0003,2,326,0.0226,0.0418
Beauty,RPG,13.582,0.0100,,,0.0454,0.0782
Beauty,SASRec Modernized,0.878,0.0010,2,64,0.0322,0.0590
Beauty,SASRec Size-Matched (Chosen),17.082,0.0003,3,540,0.0432,0.0741
Toys,RPG,8.528,0.0030,,,0.0478,0.0851
Toys,SASRec Modernized,0.867,0.0010,2,64,0.0372,0.0668
Toys,SASRec Size-Matched (Chosen),8.517,0.0003,2,396,0.0501,0.0818
CDs,RPG,23.689,0.0010,,,0.0405,0.0715
CDs,SASRec Modernized,4.228,0.0010,2,64,0.0265,0.0511
CDs,SASRec Size-Matched (Chosen),23.746,0.0003,2,328,0.0340,0.0638
Pet,RPG,13.582,0.0030,,,0.0358,0.0633
Pet,SASRec Modernized,0.648,0.0010,2,64,0.0268,0.0483
Pet,SASRec Size-Matched (Chosen),13.571,0.0003,2,594,0.0361,0.0648
Games,RPG,23.689,0.0010,,,0.0290,0.0524
Games,SASRec Modernized,0.786,0.0010,2,64,0.0528,0.1011
Games,SASRec Size-Matched (Chosen),23.668,0.0003,2,794,0.0610,0.1148
